■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2019-10-26,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 1980~2019   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
3110,드래곤 헌터,"기욤 이베르넬,아르튀르 크왁",,미디어소프트,"롯데쇼핑㈜롯데엔터테인먼트,케이비에스미디어(주)",2013-01-24,개봉영화,장편,프랑스,105,"219,090,000","34,984","60,662,000","9,393",애니메이션,전체관람가,일반영화
3111,피터와 모글리의 크리스마스 어드벤처,타파스 차크라바르티,,그린나래미디어(주),(주)팝엔터테인먼트,2017-11-23,개봉영화,장편,인도,250,"241,351,800","34,899","34,577,800","4,409",애니메이션,전체관람가,독립/예술영화
3112,"오늘 밤, 로맨스 극장에서",타케우치 히데키,,(주)엔케이컨텐츠,(주)디스테이션,2018-07-11,개봉영화,장편,일본,155,"294,851,000","34,897","127,717,400","14,531",판타지,전체관람가,독립/예술영화
3113,몬스터 왕국,에스벤 토프트 야콥슨,,(주)스마일이엔티,씨너스엔터테인먼트(주),2014-05-01,개봉영화,장편,스웨덴,160,"237,248,600","34,888","47,223,000","6,509",애니메이션,전체관람가,일반영화
3114,누구의 딸도 아닌 해원,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)영화사 조제",2013-02-28,개봉영화,장편,한국,35,"268,878,400","34,876","211,655,900","26,400",드라마,청소년관람불가,독립/예술영화
3115,레플리카,제프리 나흐마노프,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2019-09-25,개봉영화,장편,미국,360,"274,415,490","34,868","118,149,670","14,706",범죄,15세이상관람가,일반영화
3116,펭귄 하이웨이,이시다 히로야스,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),2018-10-18,개봉영화,장편,일본,338,"276,934,100","34,795","105,306,600","12,079",애니메이션,전체관람가,독립/예술영화
3117,안도 타다오,미즈노 시게노리,,(주)라라아비스,(주)영화사 진진,2019-04-25,개봉영화,장편,일본,49,"285,051,985","34,747","204,076,185","23,721",다큐멘터리,전체관람가,독립/예술영화
3118,뫼비우스,김기덕,(주)김기덕 필름,,(주)넥스트엔터테인먼트월드(NEW),2013-09-05,개봉영화,장편,한국,128,"250,644,579","34,740","112,900,079","14,992",드라마,청소년관람불가,독립/예술영화
3119,더 헌트,토마스 빈터베르그,,(주)엣나인필름,"(주)엣나인필름,씨너스엔터테인먼트(주)",2013-01-24,개봉영화,장편,덴마크,37,"263,329,000","34,724","212,893,500","27,204",드라마,15세이상관람가,독립/예술영화
3120,서태지밴드 라이브 투어 <더 뫼비우스>,서태지,(주)서태지컴퍼니,,(주)서태지컴퍼니,2010-05-21,개봉영화,장편,한국,1,"259,638,481","34,688","229,238,000","30,278",다큐멘터리,전체관람가,독립/예술영화
3121,하비의 마지막 로맨스,조엘 홉킨스,오버츄어 필름,(주)미로비젼,(주)영화사 진진,2010-10-28,개봉영화,장편,미국,41,"251,907,697","34,670","172,433,500","23,192",멜로/로맨스,12세이상관람가,독립/예술영화
3122,빠삐용,마이클 노어,,주식회사 풍경소리,(주)드림팩트엔터테인먼트,2019-02-27,개봉영화,장편,미국,191,"275,814,950","34,638","104,659,580","12,996",범죄,15세이상관람가,독립/예술영화
3123,음모자,로버트 레드포드,,판씨네마(주),판씨네마(주),2011-06-30,개봉영화,장편,미국,35,"263,503,000","34,625","142,495,500","18,107",드라마,12세이상관람가,독립/예술영화
3124,녹터널 애니멀스,톰 포드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-01-11,개봉영화,장편,미국,219,"284,555,179","34,616","175,748,079","20,648",드라마,청소년관람불가,독립/예술영화
3125,신은 죽지 않았다 2,해롤드 크론크,,(주)에스와이코마드,"(주)에스와이코마드,글뫼 주식회사",2016-04-07,개봉영화,장편,미국,96,"249,592,600","34,584","104,715,400","14,701",드라마,12세이상관람가,독립/예술영화
3126,파운더,존 리 행콕,,(주)크리픽쳐스,CGV아트하우스,2017-04-20,개봉영화,장편,미국,288,"274,920,900","34,517","147,735,300","17,982",드라마,15세이상관람가,독립/예술영화
3127,아무도 모른다,고레에다 히로카즈,"반다이비쥬얼컴패니,(주)씨네콰논","(주)엔케이컨텐츠,(주)동숭아트센터","(주)디스테이션,(주)동숭아트센터",2005-04-01,개봉영화,장편,일본,0,0,"34,515",0,"26,649",드라마,전체관람가,독립/예술영화
3128,필로미나의 기적,스티븐 프리어스,,찬란,씨네그루(주)다우기술,2014-04-16,개봉영화,장편,영국,194,"249,884,600","34,501","129,139,100","17,081",드라마,12세이상관람가,독립/예술영화
3129,극장판 레이디버그: 미라클스톤의 비밀,토마스 아스트뤽,,,(주)삼지애니메이션,2018-01-25,개봉영화,장편,프랑스,305,"254,692,500","34,466","58,311,300","7,317",애니메이션,전체관람가,일반영화
3130,핑크 팬더,숀 레비,메트로-골드윈-마이어,이십세기폭스코리아(주),이십세기폭스코리아(주),2006-04-13,개봉영화,장편,미국,0,0,"34,450",0,"9,850",코미디,12세관람가,일반영화
3131,우리 학교,김명준,스튜디오느림보,,"(주)영화사 진진,아트플러스시네마네트워크",2007-03-29,개봉영화,장편,한국,0,0,"34,439",0,"25,734",다큐멘터리,전체관람가,독립/예술영화
3132,태양의 노래,코이즈미 노리히로,,"(주)메인타이틀픽쳐스,(주)프렌즈엔터테인먼트","와이드 릴리즈(주),유니버설픽쳐스인터내셔널 코리아(유)",2007-02-22,개봉영화,장편,일본,0,0,"34,427",0,"16,094",드라마,전체관람가,독립/예술영화
3133,고독이 몸부림칠 때,이수인,(주)마술피리,,"(주)쇼박스,영화사풍년상회(주)",2004-03-19,개봉영화,장편,한국,0,0,"34,349",0,"13,459",코미디,15세관람가,일반영화
3134,"헤일, 시저!","에단 코엔,조엘 코엔",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-03-24,개봉영화,장편,미국,253,"271,122,300","34,295","156,527,000","19,272",코미디,12세이상관람가,독립/예술영화
3135,아이 엠 러브,루카 구아다그니노,,"(주)영화사 진진,(주)영화사 조제","(주)영화사 진진,(주)영화사 조제",2011-01-20,개봉영화,장편,이탈리아,14,"271,649,000","34,269","218,532,500","27,161",드라마,청소년관람불가,독립/예술영화
3136,더 플랜,최진성,프로젝트 부,,(주)엣나인필름,2017-04-20,개봉영화,장편,한국,156,"263,526,895","34,225","126,773,395","16,124",다큐멘터리,15세이상관람가,독립/예술영화
3137,7번째 내가 죽던 날,라이 루소 영,,(주)우성엔터테인먼트,씨네그루(주)키다리이엔티,2017-05-31,개봉영화,장편,미국,230,"259,877,400","34,184","80,398,600","10,255",드라마,15세이상관람가,독립/예술영화
3138,줄리 & 줄리아,노라 에프론,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-12-10,개봉영화,장편,미국,31,"255,718,717","34,097","203,137,000","26,576",드라마,12세이상관람가,일반영화
3139,피아노의 숲,코지마 마사유키,,"(주)이모션픽처스,(주)에이원엔터테인먼트","(주)이모션픽처스,THE 픽쳐스",2008-10-30,개봉영화,장편,일본,14,"215,145,311","34,012","112,015,500","17,344",애니메이션,전체관람가,독립/예술영화
3140,빅 웨딩,저스틴 잭햄,,(주)뮤제엔터테인먼트,(주)나이너스엔터테인먼트,2013-06-27,개봉영화,장편,미국,166,"231,885,500","33,993","138,156,000","20,005",멜로/로맨스,청소년관람불가,일반영화
3141,에블린,브루스 베레스포드,,태창엔터테인먼트(주),태창엔터테인먼트(주),2003-06-20,개봉영화,장편,영국,0,0,"33,920",0,"16,919",드라마,전체관람가,일반영화
3142,어메이징 메리,마크 웹,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-10-04,개봉영화,장편,미국,61,"272,826,500","33,901","148,059,200","18,198",드라마,12세이상관람가,독립/예술영화
3143,복숭아나무,구혜선,"구혜선 필름,(유)조이앤컨텐츠그룹",,(주)넥스트엔터테인먼트월드(NEW),2012-10-31,개봉영화,장편,한국,201,"240,103,112","33,884","102,086,597","13,837",멜로/로맨스,15세이상관람가,일반영화
3144,"메밀꽃, 운수 좋은 날, 그리고 봄봄","안재훈,한혜진","(주)연필로명상하기,한국교육방송공사 EBS",,이달투,2014-08-21,개봉영화,옴니버스,한국,37,"220,210,100","33,751","96,543,000","13,552",애니메이션,전체관람가,독립/예술영화
3145,오직 사랑하는 이들만이 살아남는다,짐 자무시,,찬란,찬란,2014-01-09,개봉영화,장편,영국,38,"253,422,443","33,579","182,213,443","23,450",드라마,15세이상관람가,독립/예술영화
3146,마스터,폴 토마스 앤더슨,,(주)누리픽쳐스,(주)영화사 진진,2013-07-11,개봉영화,장편,미국,38,"256,118,300","33,505","200,422,300","25,404",드라마,청소년관람불가,독립/예술영화
3147,만신,박찬경,볼,,(주)엣나인필름,2014-03-06,개봉영화,장편,한국,88,"251,863,300","33,481","140,098,300","17,846",다큐멘터리,15세이상관람가,독립/예술영화
3148,코난: 암흑의 시대,마커스 니스펠,,제이엠지엔터테인먼트(주),씨제이이앤엠(주),2012-04-05,개봉영화,장편,미국,198,"257,709,000","33,469","82,771,500","9,981",판타지,청소년관람불가,일반영화
3149,리틀드래곤 코코넛,"허버트 베일란드,니나 웰스",,(주)시네마리퍼블릭,(주)영화사 빅,2015-07-02,개봉영화,장편,독일,209,"242,862,400","33,464","53,646,100","7,072",애니메이션,전체관람가,독립/예술영화
3150,배틀 오브 비보이,벤슨 리,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-09,개봉영화,장편,미국,80,"214,900,500","33,360","45,827,500","7,054",드라마,12세이상관람가,일반영화
3151,무한대를 본 남자,맷 브라운,,판씨네마(주),판씨네마(주),2016-11-03,개봉영화,장편,영국,309,"254,945,754","33,188","98,323,454","12,460",드라마,12세이상관람가,독립/예술영화
3152,"땡큐, 대디",닐스 타베니어,,(주)영화사 빅,(주)영화사 빅,2015-04-23,개봉영화,장편,프랑스,252,"236,688,561","33,036","113,845,761","15,784",드라마,전체관람가,독립/예술영화
3153,태양 아래,비탈리 만스키,,에이리스트엔터테인먼트,THE 픽쳐스,2016-04-27,개봉영화,장편,체코,120,"206,495,400","33,008","122,464,500","21,160",다큐멘터리,전체관람가,독립/예술영화
3154,I AM,최진성,"씨제이이앤엠(주),(주)에스엠엔터테인먼트",,씨제이이앤엠(주),2012-06-21,개봉영화,장편,한국,137,"245,580,000","32,988","138,838,000","17,865",다큐멘터리,전체관람가,일반영화
3155,19-Nineteen,장용우,(주)삼화네트웍스,,씨제이엔터테인먼트,2009-11-12,개봉영화,장편,한국,69,"212,293,874","32,986","63,256,500","9,559",드라마,12세이상관람가,일반영화
3156,카사노바,라세 할스트롬,터치스톤 픽처스,브에나비스타인터내셔널코리아,브에나비스타인터내셔널코리아,2006-03-10,개봉영화,장편,미국,0,0,"32,904",0,"16,900",멜로/로맨스,15세관람가,일반영화
3157,개들의 섬,웨스 앤더슨,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-06-21,개봉영화,장편,미국,121,"284,739,300","32,789","191,546,000","21,688",코미디,12세이상관람가,일반영화
3158,킬 유어 달링,존 크로키다스,,(주)수키픽쳐스,(주)영화사 진진,2014-10-16,개봉영화,장편,미국,93,"255,344,020","32,668","157,205,820","19,526",드라마,청소년관람불가,독립/예술영화
3159,시작은 키스!,"다비드 포앙키노스,스테판 포엔키노스",,판씨네마(주),판씨네마(주),2012-06-14,개봉영화,장편,프랑스,29,"250,232,000","32,626","205,489,000","25,948",코미디,12세이상관람가,독립/예술영화
3160,꼬마 잠수함 올리 2,밥 두셋,,예지림엔터테인먼트,예지림엔터테인먼트,2014-12-04,개봉영화,장편,미국,186,"203,435,700","32,453","23,974,500","3,201",애니메이션,전체관람가,일반영화
3161,거미줄에 걸린 소녀,페드 알바레즈,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-11-28,개봉영화,장편,미국,313,"255,329,200","32,418","95,966,450","11,886",액션,15세이상관람가,일반영화
3162,인어공주 : 새로운 모험의 시작,아담 추,,예지림엔터테인먼트,예지림엔터테인먼트,2016-11-03,개봉영화,장편,중국,262,"243,970,300","32,350","38,997,300","4,628",애니메이션,전체관람가,독립/예술영화
3163,다가오는 것들,미아 한센-로브,,찬란,찬란,2016-09-29,개봉영화,장편,프랑스,29,"258,703,834","32,307","207,151,834","24,821",드라마,15세이상관람가,독립/예술영화
3164,대결,신동엽,"휴메니테라픽쳐스(주),컴퍼니에이이엔티(주)",,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",2016-09-22,개봉영화,장편,한국,366,"251,176,500","32,278","73,160,100","9,098",액션,15세이상관람가,일반영화
3165,뮤턴트: 다크 에이지,사이먼 헌터,,(주)토마스엔터프라이즈,(주)넥스트엔터테인먼트월드(NEW),2009-01-08,개봉영화,장편,미국,101,"219,920,268","32,267","67,641,000","9,343",액션,청소년관람불가,일반영화
3166,써클,박승배,㈜무비캠,,비엠,2003-11-14,개봉영화,장편,한국,0,0,"32,256",0,"13,180",스릴러,18세관람가,일반영화
3167,케이-펙스,이안 소프틀리,,마하인더스트리(주),,2003-09-19,개봉영화,장편,미국,0,0,"32,204",0,"15,073",판타지,12세관람가,일반영화
3168,팔로우,데이빗 로버트 밋첼,,(주)콘텐츠게이트,"(주)영화사오원,(주)브리즈픽처스",2015-04-02,개봉영화,장편,미국,197,"267,202,743","32,187","84,573,443","9,961",공포(호러),청소년관람불가,독립/예술영화
3169,클라우즈 오브 실스마리아,올리비에 아사야스,,(주)티캐스트콘텐츠허브,(주)나이너스엔터테인먼트,2014-12-18,개봉영화,장편,프랑스,53,"254,585,599","32,126","197,407,399","24,311",드라마,15세이상관람가,독립/예술영화
3170,위크엔드 인 파리,로저 미첼,,판씨네마(주),판씨네마(주),2014-05-01,개봉영화,장편,영국,31,"252,649,200","32,070","178,820,600","22,147",드라마,15세이상관람가,독립/예술영화
3171,극장판 위 베어 베어스: 곰 브라더스,매니 에르난데스,,터너코리아 유한회사,(주)팝엔터테인먼트,2017-08-24,개봉영화,장편,미국,307,"230,410,600","32,021","44,667,800","5,612",애니메이션,전체관람가,일반영화
3172,극장판 프리파라 모두 모여라! 프리즘☆투어즈,히시다 마사카즈,동우에이앤이(주),,(주)박수엔터테인먼트,2016-10-13,개봉영화,장편,한국,157,"263,405,900","31,843","71,055,000","8,187",애니메이션,전체관람가,독립/예술영화
3173,극장판 유희왕 더 다크 사이드 오브 디멘션즈,쿠와바라 사토시,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2016-06-09,개봉영화,장편,일본,210,"253,214,200","31,805","82,762,300","9,804",애니메이션,전체관람가,일반영화
3174,마이 블랭키,프란시스 닐슨,,(주)시네마리퍼블릭,(주)마인스 엔터테인먼트,2014-06-04,개봉영화,장편,스페인,111,"219,661,100","31,798","32,984,500","4,461",애니메이션,전체관람가,독립/예술영화
3175,썬키스 패밀리,김지혜,(주)영화사두둥,,메가박스중앙(주)플러스엠,2019-03-27,개봉영화,장편,한국,417,"245,549,900","31,742","84,021,800","10,426",가족,15세이상관람가,일반영화
3176,꼭두각시,권영락,골든타이드픽처스(주),,(주)인벤트스톤,2013-06-20,개봉영화,장편,한국,134,"227,941,500","31,713","37,575,000","4,982",공포(호러),청소년관람불가,일반영화
3177,네번째 층 - 어느날 갑자기 두번째 이야기,권호영,"(주)소프트랜드 영상 사업부 에이포스트 픽쳐스,씨제이엔터테인먼트",,씨제이엔터테인먼트,2006-07-27,개봉영화,장편,한국,0,0,"31,654",0,"16,480",공포(호러),15세관람가,일반영화
3178,그랜드파더,이서,(주)한이야기,,"(주)인벤트스톤,(주)디스테이션",2016-08-31,개봉영화,장편,한국,288,"233,692,400","31,640","55,962,800","7,516",액션,청소년관람불가,독립/예술영화
3179,서스페리아,루카 구아다니노,,주식회사 더쿱,(주)홈초이스,2019-05-16,개봉영화,장편,이탈리아,257,"288,130,965","31,618","158,309,265","16,799",공포(호러),청소년관람불가,독립/예술영화
3180,동경가족,야마다 요지,,오드,오드,2014-07-31,개봉영화,장편,일본,45,"237,144,500","31,564","142,091,600","18,204",가족,전체관람가,독립/예술영화
3181,날나리 종부전,임원국,(주)필름캔,,롯데쇼핑㈜롯데엔터테인먼트,2008-05-22,개봉영화,장편,한국,162,"181,261,000","31,522","25,840,500","4,087",코미디,12세이상관람가,일반영화
3182,꼬마 니콜라의 여름방학,로랑 티라르,,소서러스어프렌티스(주),(주)나이너스엔터테인먼트,2014-08-21,개봉영화,장편,프랑스,133,"218,859,600","31,368","84,970,800","11,793",코미디,전체관람가,독립/예술영화
3183,소명 3 : 히말라야의 슈바이처,신현원,신현원프로덕션,,(주)에스피엠,2011-04-07,개봉영화,장편,한국,32,"212,483,500","31,265","101,772,000","13,516",다큐멘터리,전체관람가,독립/예술영화
3184,이노센스,오시이 마모루,,대원미디어(주),(주)시네마서비스,2004-10-08,개봉영화,장편,일본,0,0,"31,249",0,"19,929",애니메이션,12세관람가,독립/예술영화
3185,몽상가들,베르나르도 베르톨루치,더 레코디드 픽쳐 프로덕션,"찬란,오드","찬란,오드",2005-03-25,개봉영화,장편,프랑스,0,0,"31,211",0,"18,816",드라마,18세관람가,독립/예술영화
3186,나는 부정한다,믹 잭슨,,(주)티캐스트,(주)티캐스트,2017-04-26,개봉영화,장편,영국,104,"250,925,125","31,172","173,714,325","20,751",드라마,12세이상관람가,독립/예술영화
3187,여섯 개의 시선,"여균동,정재은,임순례,박찬욱,박진표",국가인권위원회,,영화사청어람(주),2003-11-14,개봉영화,옴니버스,한국,0,N/A,"31,171",N/A,"18,409",드라마,12세관람가,독립/예술영화
3188,더 브레이브,"에단 코엔,조엘 코엔",,씨제이엔터테인먼트,씨제이엔터테인먼트,2011-02-24,개봉영화,장편,미국,51,"240,423,500","31,152","174,312,500","22,354",드라마,15세이상관람가,일반영화
3189,초콜렛 도넛,트래비스 파인,,(주)수키픽쳐스,CGV아트하우스,2014-10-02,개봉영화,장편,미국,53,"246,408,200","31,101","134,348,400","16,354",드라마,15세이상관람가,독립/예술영화
3190,할로윈:살인마의 탄생,롭 좀비,디멘션 필름즈,(주)누리픽쳐스,(주)성원아이컴,2009-05-14,개봉영화,장편,미국,116,"214,069,351","31,068","71,985,500","10,002",공포(호러),청소년관람불가,일반영화
3191,어떤 시선,"박정범,신아가,이상철,민용근",국가인권위원회,,(주)영화사 진진,2013-10-24,개봉영화,옴니버스,한국,28,"204,028,800","31,048","56,865,800","7,648",드라마,12세이상관람가,독립/예술영화
3192,옹박: 더 레전드,토니 자,,㈜케이디미디어,㈜케이디미디어,2009-05-14,개봉영화,장편,태국,172,"200,763,553","31,042","39,654,000","5,908",액션,15세이상관람가,일반영화
3193,러브액츄얼리: 크리스마스 에디션,리차드 커티스,,(유)조이앤컨텐츠그룹,(주)팝엔터테인먼트,2013-12-18,개봉영화,장편,미국,82,"236,604,147","31,032","183,585,647","23,753",멜로/로맨스,청소년관람불가,독립/예술영화
3194,목숨,이창재,(주)비트윈픽처스,,필라멘트픽쳐스,2014-12-04,개봉영화,장편,한국,97,"235,872,600","31,022","99,672,400","12,412",다큐멘터리,12세이상관람가,독립/예술영화
3195,사랑 후에 남겨진 것들,도리스 되리에,,(주)영화사 진진,(주)영화사 진진,2009-02-19,개봉영화,장편,독일,5,"207,003,786","30,926","153,019,000","22,073",드라마,청소년관람불가,독립/예술영화
3196,막달라 마리아: 부활의 증인,가스 데이비스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-03-28,개봉영화,장편,영국,111,"214,792,200","30,833","99,004,200","14,257",드라마,12세이상관람가,일반영화
3197,단지 세상의 끝,자비에 돌란,,(주)엣나인필름,(주)엣나인필름,2017-01-18,개봉영화,장편,캐나다,124,"242,177,173","30,793","174,481,073","21,079",드라마,15세이상관람가,독립/예술영화
3198,"좋아해, 너를",이마이즈미 리키야,,(주)디오시네마,(주)디오시네마,2017-09-14,개봉영화,장편,일본,101,"265,102,800","30,714","133,168,800","14,983",드라마,12세이상관람가,독립/예술영화
3199,앵그리스트 맨,필 알덴 로빈슨,,브런치메이트필름(주),브릿지웍스 엔터테인먼트(주),2014-10-30,개봉영화,장편,미국,181,"229,523,200","30,656","92,953,100","11,982",드라마,15세이상관람가,독립/예술영화
3200,블루스톰,존 스톡웰,콜럼비아 픽쳐스 필름 프로덕션,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2005-11-17,개봉영화,장편,미국,0,0,"30,600",0,"11,000",액션,15세관람가,일반영화
3201,다른나라에서,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)영화사 조제",2012-05-31,개봉영화,장편,한국,35,"237,013,700","30,590","194,437,200","24,160",드라마,청소년관람불가,독립/예술영화
3202,돼지코 아기공룡 임피의 모험,"호거 태프,라인하르트 클루스",,(유)마스엔터테인먼트코리아,(유)마스엔터테인먼트코리아,2008-06-26,개봉영화,장편,독일,50,"171,778,500","30,561","51,231,500","8,927",애니메이션,전체관람가,일반영화
3203,언노운 우먼,쥬세페 토르나토레,,㈜세종커뮤니케이션스,씨제이엔터테인먼트,2009-07-01,개봉영화,장편,이탈리아,20,"231,619,564","30,545","218,970,000","28,521",드라마,청소년관람불가,독립/예술영화
3204,신밧드와 마법 양탄자,카스텐 킬러리치,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2019-02-13,개봉영화,장편,덴마크,258,"204,586,840","30,534","30,278,800","4,135",애니메이션,전체관람가,일반영화
3205,쿠보와 전설의 악기,트래비스 나이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-26,개봉영화,장편,미국,100,"208,824,862","30,525","50,556,862","6,969",애니메이션,전체관람가,일반영화
3206,스노우타임,장 프랑소아 풀리오,,(주)영화사 빅,(주)영화사 빅,2016-12-15,개봉영화,장편,캐나다,259,"217,620,400","30,467","50,692,600","6,359",애니메이션,전체관람가,독립/예술영화
3207,바르다가 사랑한 얼굴들,"아녜스 바르다,제이알",,(주)영화사 진진,(주)영화사 진진,2018-06-14,개봉영화,장편,프랑스,53,"245,996,534","30,392","185,080,134","21,833",다큐멘터리,전체관람가,독립/예술영화
3208,에로스,"왕가위,스티븐 소더버그,미켈란젤로 안토니오니",판당고,스폰지,스폰지,2005-06-30,개봉영화,장편,미국,0,0,"30,389",0,"21,693",드라마,18세관람가,독립/예술영화
3209,벨 아미,"데클란 도넬란,닉 오머로드",,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2012-08-30,개봉영화,장편,영국,103,"213,966,000","30,373","85,646,000","11,530",드라마,청소년관람불가,일반영화
3210,반지의 제왕 : 왕의 귀환 (확장판),피터 잭슨,,(주)영화사오원,(주)디스테이션,2017-01-25,개봉영화,장편,뉴질랜드,56,"370,268,000","30,349","180,104,400","14,774",판타지,12세이상관람가,일반영화
3211,마인드스케이프,호르헤 도라도,,(주)스마일이엔티,오퍼스픽쳐스(유),2014-10-23,개봉영화,장편,스페인,199,"220,476,900","30,257","86,052,200","11,231",스릴러,15세이상관람가,일반영화
3212,드라이브 앵그리 3D,패트릭 루지어,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2011-08-25,개봉영화,장편,미국,160,"252,405,500","30,221","80,068,000","8,769",액션,청소년관람불가,일반영화
3213,지구: 놀라운 하루,"범립흔,피터 웨버",,(주)하이라이트픽쳐스,(주)리틀빅픽쳐스,2018-02-22,개봉영화,장편,영국,231,"229,998,100","30,200","78,611,500","9,765",다큐멘터리,전체관람가,독립/예술영화
3214,러스트 앤 본,자크 오디아르,,그린나래미디어(주),그린나래미디어(주),2013-05-02,개봉영화,장편,프랑스,37,"228,578,900","30,193","158,551,900","20,118",멜로/로맨스,청소년관람불가,독립/예술영화
3215,"나의 사랑, 그리스",크리스토퍼 파파칼리아티스,,모비딕엔터테인먼트(주),(주)팝엔터테인먼트,2017-04-20,개봉영화,장편,그리스,123,"241,875,000","30,181","151,997,100","18,236",드라마,15세이상관람가,독립/예술영화
3216,지골로 인 뉴욕,존 터투로,,(주)메인타이틀픽쳐스,(주)나이너스엔터테인먼트,2014-09-25,개봉영화,장편,미국,234,"226,048,755","30,140","115,151,955","14,862",멜로/로맨스,청소년관람불가,독립/예술영화
3217,전차남,무라카미 마사노리,,영화사 창,(주)엠케이픽처스,2006-09-07,개봉영화,장편,일본,0,0,"30,131",0,"12,855",멜로/로맨스,12세관람가,일반영화
3218,극장판 나루토 질풍전: 로드 투 닌자,하야토 다테,,애니박스 엔터테인먼트,씨너스엔터테인먼트(주),2013-02-21,개봉영화,장편,일본,72,"200,250,500","30,117","67,219,000","9,572",애니메이션,전체관람가,일반영화
3219,더 길티,구스타브 몰러,,주식회사 씨네룩스,(주)팝엔터테인먼트,2019-03-27,개봉영화,장편,덴마크,108,"251,886,700","30,110","111,680,800","12,872",스릴러,12세이상관람가,독립/예술영화
3220,나루토 질풍전 극장판-불의 의지를 잇는 자,사토 마사히코,,애니박스 엔터테인먼트,에이원엔터테인먼트,2009-10-22,개봉영화,장편,일본,67,"190,809,329","30,053","52,869,000","7,863",애니메이션,전체관람가,일반영화
3221,체실 비치에서,도미닉 쿡,,그린나래미디어(주),"그린나래미디어(주),(주)키위미디어그룹",2018-09-20,개봉영화,장편,영국,54,"256,267,223","29,992","158,788,723","18,180",드라마,15세이상관람가,독립/예술영화
3222,행복배달부 팻아저씨,마이크 디사,,(주)시네마리퍼블릭,(주)영화사 빅,2014-10-09,개봉영화,장편,영국,162,"210,268,100","29,906","57,193,700","7,906",애니메이션,전체관람가,독립/예술영화
3223,테일 오브 테일즈,마테오 가로네,,오드,오드,2016-11-24,개봉영화,장편,이탈리아,102,"234,331,200","29,891","155,458,000","19,500",판타지,청소년관람불가,독립/예술영화
3224,브레이브 스토리,치기라 코이치,,데이지엔터테인먼트,예지림엔터테인먼트,2008-03-20,개봉영화,장편,일본,49,"179,083,500","29,887","46,472,000","7,824",애니메이션,전체관람가,일반영화
3225,33,패트리시아 리건,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2016-04-07,개봉영화,장편,미국,320,"228,351,400","29,728","68,233,700","8,707",드라마,12세이상관람가,일반영화
3226,루터,에릭 틸,,가나미디어,THE 픽쳐스,2017-10-18,개봉영화,장편,독일,94,"205,455,300","29,710","98,473,100","14,270",드라마,12세이상관람가,독립/예술영화
3227,소명 2-모겐족의 월드컵,신현원,신현원프로덕션,,(주)에스피엠,2010-04-01,개봉영화,장편,한국,62,"200,488,795","29,694","84,376,000","12,183",다큐멘터리,전체관람가,독립/예술영화
3228,내 인생의 마지막 변화구,로버트 로렌즈,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-11-29,개봉영화,장편,미국,130,"208,654,500","29,648","110,680,000","14,967",드라마,12세이상관람가,일반영화
3229,루비 스팍스,"조나단 데이턴,발레리 페리스",,"(주)영화사 안다미로,플레이리스트(주)",(주)팝엔터테인먼트,2018-05-10,개봉영화,장편,미국,149,"260,261,400","29,552","113,687,700","12,577",코미디,15세이상관람가,독립/예술영화
